,username,to,type,query,followers
0,msantos824,therealjoemoses,RT,msantos824,47.0
1,jenvrgs,jenvrgs,Tweet,jenvrgs,2909.0
2,hungrrypanda,barstoolsports,RT,hungrrypanda,121.0
3,alessaJBiebs1,alessaJBiebs1,Tweet,alessaJBiebs1,54.0
4,alessaJBiebs1,alessaJBiebs1,Tweet,alessaJBiebs1,54.0
5,Julkee,Julkee,Tweet,Julkee,86.0
6,rgilliescanada,rgilliescanada,Tweet,rgilliescanada,2568.0
7,TayyWRLD,ZhaireWRLD,RT,TayyWRLD,2470.0
8,TayyWRLD,ZhaireWRLD,RT,TayyWRLD,2470.0
9,TayyWRLD,ZhaireWRLD,RT,TayyWRLD,2470.0
10,TayyWRLD,TayyWRLD,Tweet,TayyWRLD,2470.0
11,alithearabian,alithearabian,Tweet,alithearabian,656.0
12,wicked_soull,henuseey,RT,wicked_soull,343.0
13,SimbulanO,SDinwiddie_25,RT,SimbulanO,8.0
14,MGoldenpine,MGoldenpine,Tweet,MGoldenpine,68.0
15,127PCY_,20Minutes,RT,127PCY_,
16,127PCY_,127PCY_,Tweet,127PCY_,
17,127PCY_,celebsinparis,RT,127PCY_,
18,127PCY_,celebsinparis,RT,127PCY_,
19,xChaf__,xChaf__,Tweet,xChaf__,273.0
20,michael_leaton,KingsBluue,RT,michael_leaton,5.0
21,boss2thugz,boss2thugz,Tweet,boss2thugz,126.0
22,Anusien,Patty__Ice,RT,Anusien,616.0
23,GsealsIII,DuaneRankin,RT,GsealsIII,336.0
24,GsealsIII,GsealsIII,Tweet,GsealsIII,336.0
25,StevenFondy,StevenFondy,Tweet,StevenFondy,399.0
26,shun_0517,iina_kobe,RT,shun_0517,1846.0
27,SmithRaps,SmithRaps,Tweet,SmithRaps,46772.0
28,cam_celo,cam_celo,Tweet,cam_celo,50.0
29,goatadamsokc,MPAstud,RT,goatadamsokc,833.0
30,goatadamsokc,ZhaireWRLD,RT,goatadamsokc,833.0
31,goatadamsokc,goatadamsokc,RT,goatadamsokc,833.0
32,goatadamsokc,PlayoffCeltics,RT,goatadamsokc,833.0
33,goatadamsokc,PrimePG13,RT,goatadamsokc,833.0
34,christyjlai,christyjlai,Tweet,christyjlai,111.0
35,Keana_Daliasen,Keana_Daliasen,Tweet,Keana_Daliasen,367.0
36,noticiasdelmun4,noticiasdelmun4,Tweet,noticiasdelmun4,258.0
37,noticiasdelmun4,noticiasdelmun4,Tweet,noticiasdelmun4,258.0
38,noticiasdelmun4,noticiasdelmun4,Tweet,noticiasdelmun4,258.0
39,TubiGarlito,TubiGarlito,Tweet,TubiGarlito,10.0
40,ttheusma,ttheusma,Tweet,ttheusma,438.0
41,ttheusma,ttheusma,Tweet,ttheusma,438.0
42,ttheusma,ttheusma,Tweet,ttheusma,438.0
43,serenasevyn,serenasevyn,Tweet,serenasevyn,529.0
44,SIime4Kt,SIime4Kt,RT,SIime4Kt,
45,SIime4Kt,iKwonx,RT,SIime4Kt,
46,SIime4Kt,AramisBanned,RT,SIime4Kt,
47,SIime4Kt,AramisBanned,RT,SIime4Kt,
48,SIime4Kt,H4desx6,RT,SIime4Kt,
49,SIime4Kt,SnagDizzy,RT,SIime4Kt,
50,SIime4Kt,Delaying5k,RT,SIime4Kt,
51,SIime4Kt,SnagDizzy,RT,SIime4Kt,
52,SIime4Kt,I0UDS,RT,SIime4Kt,
53,SIime4Kt,SIime4Kt,RT,SIime4Kt,
54,SIime4Kt,SIime4Kt,RT,SIime4Kt,
55,SIime4Kt,SIime4Kt,RT,SIime4Kt,
56,SIime4Kt,SnagDizzy,RT,SIime4Kt,
57,SIime4Kt,SnagDizzy,RT,SIime4Kt,
58,SIime4Kt,JahGenerall,RT,SIime4Kt,
59,SavannahBayBVI,SavannahBayBVI,Tweet,SavannahBayBVI,2081.0
60,SAGOSE68,SAGOSE68,Tweet,SAGOSE68,864.0
61,Jaytweetsa,AirJordyn_,RT,Jaytweetsa,426.0
62,StoviakJessica,StoviakJessica,Tweet,StoviakJessica,29.0
63,ryanleon96,iwarrendu,RT,ryanleon96,185.0
64,princeoffspace,princeoffspace,Tweet,princeoffspace,323.0
65,FlorTorrese,FlorTorrese,Tweet,FlorTorrese,348.0
66,Nxndxp,Nxndxp,Tweet,Nxndxp,1404.0
67,Versace_waves,Versace_waves,Tweet,Versace_waves,278.0
68,newspages,newspages,Tweet,newspages,66.0
69,_unknown_jade,_unknown_jade,Tweet,_unknown_jade,1.0
70,VEMVintage,VEMVintage,Tweet,VEMVintage,2033.0
71,ghostbycudi,ghostbycudi,Tweet,ghostbycudi,14.0
72,thatjuanguy66,thatjuanguy66,Tweet,thatjuanguy66,954.0
73,sefmorales,sefmorales,Tweet,sefmorales,458.0
74,Wiollcia,xBluebabex,RT,Wiollcia,2394.0
75,Wiollcia,xBluebabex,RT,Wiollcia,2394.0
76,Wiollcia,xBluebabex,RT,Wiollcia,2394.0
77,Wiollcia,xBluebabex,RT,Wiollcia,2394.0
78,Wiollcia,xBluebabex,RT,Wiollcia,2394.0
79,Wiollcia,Wiollcia,Tweet,Wiollcia,2394.0
80,Wiollcia,all_dayanxdepre,RT,Wiollcia,2394.0
81,Wiollcia,all_dayanxdepre,RT,Wiollcia,2394.0
82,GeoffyRozay,GeoffyRozay,Tweet,GeoffyRozay,2011.0
83,SageGODLord,SageGODLord,Tweet,SageGODLord,2.0
84,lexmvnique,lexmvnique,Tweet,lexmvnique,1004.0
85,KGdaProducer,KGdaProducer,Tweet,KGdaProducer,1482.0
86,Trademark_Show,TheDrewYariShow,RT,Trademark_Show,503.0
87,_Christian1299_,_Christian1299_,Tweet,_Christian1299_,539.0
88,iamqueentacia,iamqueentacia,Tweet,iamqueentacia,92.0
89,PRTheGreat1,PRTheGreat1,Tweet,PRTheGreat1,171.0
90,PRTheGreat1,kellybadbuttt,RT,PRTheGreat1,171.0
91,PRTheGreat1,PercivalPenman,RT,PRTheGreat1,171.0
92,PRTheGreat1,AnAmazingFeat,RT,PRTheGreat1,171.0
93,RobPauIsen,RobPauIsen,Tweet,RobPauIsen,291.0
94,the_Fuckery_Tho,the_Fuckery_Tho,Tweet,the_Fuckery_Tho,749.0
95,Richard01549607,DailyCaller,RT,Richard01549607,217.0
96,Imm_Starvin,AngryTiger__,RT,Imm_Starvin,1506.0
97,blackNOTmixed,MrMichaelLee,RT,blackNOTmixed,480.0
98,blackNOTmixed,BeigeLarryDavid,RT,blackNOTmixed,480.0
99,blackNOTmixed,BeigeLarryDavid,RT,blackNOTmixed,480.0
100,sudzero6bc,sudzero6bc,Tweet,sudzero6bc,1910.0
101,sudzero6bc,anidraaa,RT,sudzero6bc,1910.0
102,sudzero6bc,Oh_Bunn,RT,sudzero6bc,1910.0
103,sudzero6bc,unkwnuserx,RT,sudzero6bc,1910.0
104,motovon1,motovon1,Tweet,motovon1,683.0
